CODDISA;NOMDISA;CODIGO_PRE;ESTABLEC;ALMTIPO_COMPLETO;ESTADO;UE;CODIGO_MED;NOMBRE;TIPO;ESTRATEGIC;FORMA_FARM;INDICADOR;MESANO;STOCK;CONSUMO;CPA;NMESES;DME
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;05281;PARACETAMOL 100 mg/mL 10 mL SOLUCION;M;SD;SOLUCION;SOBRESTOCK;202503;3075;2037;169.75;12;18.11
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;03747;GENTAMICINA (COMO SULFATO) 80 mg/mL 2 mL INYECTABLE;M;SC/SD;INYECTABLE;SOBRESTOCK;202503;3009;3148;262.333333;12;11.47
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;18157;CEFTAZIDIMA CON DILUYENTE 1 g  INYECTABLE;M;SD;INYECTABLE;SOBRESTOCK;202503;2946;3560;296.666667;12;9.93
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;05211;OXACILINA 1 g  INYECTABLE;M;SC/SD;INYECTABLE;SOBRESTOCK;202503;2887;3416;284.666667;12;10.14
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;01930;CLARITROMICINA 500 mg  TABLETA;M;SD;TABLETA;SOBRESTOCK;202503;2833;2004;167;12;16.96
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;19238;HIERRO (COMO SACARATO) 20 mg Fe/mL 5 mL INYECTABLE;M;SC/SD;INYECTABLE;SOBRESTOCK;202503;2828;3577;298.083333;12;9.49
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;29001;CAFEINA CITRATO 20 mg/mL 1 mL INYECTABLE;M;SC/SD;INYECTABLE;SOBRESTOCK;202503;2715;3359;279.916667;12;9.7
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;03223;ESPIRONOLACTONA 100 mg  TABLETA;M;SD;TABLETA;SOBRESTOCK;202503;2700;1030;206;5;13.11
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;04024;IBUPROFENO 100 mg/5 mL 60 mL SUSPENSION;M;SD;SUSPENSION;SOBRESTOCK;202503;2651;2029;169.083333;12;15.68
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;02884;DIMENHIDRINATO 50 mg 5 mL INYECTABLE;M;SD;INYECTABLE;SOBRESTOCK;202503;2647;4392;366;12;7.23
